Frame;Opacity;X;Y;Scale;Rotation
1;1;0;0;1;0
2;1;0;0;1,01;0,01
3;1;0;0;1,02;0,02
4;1;0;0;1,03;0,03
5;1;0;0;1,04;0,04
6;1;0;0;1,05;0,05
7;1;0;0;1,06;0,06
8;1;0;0;1,07;0,07
9;1;0;0;1,08;0,08
10;1;0;0;1,09;0,09
11;1;0;0;1,1;0,1
12;1;0;0;1,11;0,11
13;1;0;0;1,12;0,12
14;1;0;0;1,13;0,13
15;1;0;0;1,14;0,14
16;1;0;0;1,15;0,15
17;1;0;0;1,16;0,16
18;1;0;0;1,17;0,17
19;1;0;0;1,18;0,18
20;1;0;0;1,19;0,19
21;1;0;0;1,2;0,2
22;1;0;0;1,21;0,19
23;1;0;0;1,22;0,18
24;1;0;0;1,23;0,17
25;1;0;0;1,24;0,16
26;1;0;0;1,25;0,15
27;1;0;0;1,24;0,14
28;1;0;0;1,23;0,13
29;1;0;0;1,22;0,12
30;1;0;0;1,21;0,11
31;1;0;0;1,2;0,1
32;1;0;0;1,19;0,09
33;1;0;0;1,18;0,08
34;1;0;0;1,17;0,07
35;1;0;0;1,16;0,06
36;1;0;0;1,15;0,05
37;1;0;0;1,14;0,04
38;1;0;0;1,13;0,03
39;1;0;0;1,12;0,02
40;1;0;0;1,11;0,01
41;1;0;0;1,1;0
42;1;0;0;1,09;-0,01
43;1;0;0;1,08;-0,02
44;1;0;0;1,07;-0,03
45;1;0;0;1,06;-0,04
46;1;0;0;1,05;-0,05
47;1;0;0;1,04;-0,06
48;1;0;0;1,03;-0,07
49;1;0;0;1,02;-0,08
50;1;0;0;1,01;-0,09
51;1;0;0;1;-0,1
52;1;0;0;0,99;-0,11
53;1;0;0;0,98;-0,12
54;1;0;0;0,97;-0,13
55;1;0;0;0,96;-0,14
56;1;0;0;0,95;-0,15
57;1;0;0;0,94;-0,16
58;1;0;0;0,93;-0,17
59;1;0;0;0,92;-0,18
60;1;0;0;0,91;-0,19
61;1;0;0;0,9;-0,2
62;1;0;0;0,89;-0,19
63;1;0;0;0,88;-0,18
64;1;0;0;0,87;-0,17
65;1;0;0;0,86;-0,16
66;1;0;0;0,85;-0,15
67;1;0;0;0,84;-0,14
68;1;0;0;0,83;-0,13
69;1;0;0;0,82;-0,12
70;1;0;0;0,81;-0,11
71;1;0;0;0,8;-0,1
72;1;0;0;0,81;-0,09
73;1;0;0;0,82;-0,08
74;1;0;0;0,83;-0,07
75;1;0;0;0,84;-0,06
76;1;0;0;0,85;-0,05
77;1;0;0;0,86;-0,04
78;1;0;0;0,87;-0,03
79;1;0;0;0,88;-0,02
80;1;0;0;0,89;-0,01
81;1;0;0;0,9;0
82;1;0;0;0,91;0,01
83;1;0;0;0,92;0,02
84;1;0;0;0,93;0,03
85;1;0;0;0,94;0,04
86;1;0;0;0,95;0,05
87;1;0;0;0,96;0,06
88;1;0;0;0,97;0,07
89;1;0;0;0,98;0,08
90;1;0;0;0,99;0,09
91;1;0;0;1;0,1
92;1;0;0;1;0,11
93;1;0;0;1;0,12
94;1;0;0;1;0,13
95;1;0;0;1;0,14
96;1;0;0;1;0,15
97;1;0;0;1;0,16
98;1;0;0;1;0,17
99;1;0;0;1;0,18
100;1;0;0;1;0,19
101;1;0;0;1;0,2
102;1;0;0;1;0,19
103;1;0;0;1;0,18
104;1;0;0;1;0,17
105;1;0;0;1;0,16
106;1;0;0;1;0,15
107;1;0;0;1;0,14
108;1;0;0;1;0,13
109;1;0;0;1;0,12
110;1;0;0;1;0,11
111;1;0;0;1;0,1
112;1;0;0;1;0,09
113;1;0;0;1;0,08
114;1;0;0;1;0,07
115;1;0;0;1;0,06
116;1;0;0;1;0,05
117;1;0;0;1;0,04
118;1;0;0;1;0,03
119;1;0;0;1;0,02
120;1;0;0;1;0,01